Name of File;Source;Year of Production;Name;Resposible
1709_Danilov-Danilyan;OralHistory;1992;Danilov-Daned;Наумов Александр;
1709_Danilov-Danilyan;OralHistory;1965;Danilov-Dan;Наумов Александр;
1717_Nasedkin;OralHistory;2014;Nasedkined;Наумов Александр;
1717_Nasedkin;OralHistory;1924;Nasedkin;Наумов Александр;
1718_Nasedkin;OralHistory;1905;Nasedkinchekauth;Наумов Александр;
1723_Baturin;OralHistory;2014;Baturined;Наумов Александр;
1723_Baturin;OralHistory;;;Наумов Александр;
1739_Sosna;OralHistory;1959;Sosnaed;Наумов Александр;
1739_Sosna;OralHistory;1948;Sosna;Наумов Александр;
1744_Krasulin;OralHistory;;;Наумов Александр;
1744_Krasulin;OralHistory;;;Наумов Александр;
1745_Krasulin;OralHistory;;;Наумов Александр;
1745_Krasulin;OralHistory;1928;Krasulin;Наумов Александр;
1746_Alshibay;OralHistory;;;Наумов Александр;
1746_Alshibay;OralHistory;2014;Alshibaj;Наумов Александр;
1747_Karmalita;OralHistory;2014;Karmalitachek;Наумов Александр;
1747_Karmalita;OralHistory;;;Наумов Александр;
1751_Krasulin;OralHistory;;;Наумов Александр;
1751_Krasulin;OralHistory;;;Наумов Александр;
1752_Alshibay;OralHistory;;;Наумов Александр;
1752_Alshibay;OralHistory;1987;Alshibaj;Наумов Александр;
1776_Infante;OralHistory;;;Наумов Александр;
1776_Infante;OralHistory;2014;Infante;Наумов Александр;
1777_Munc;OralHistory;;;Наумов Александр;
1777_Munc;OralHistory;;;Наумов Александр;
1779_Yasin;OralHistory;;;Наумов Александр;
1779_Yasin;OralHistory;;;Наумов Александр;
1786_Yasin;OralHistory;;;Наумов Александр;
1786_Yasin;OralHistory;;;Наумов Александр;
1842_Vinogradov;OralHistory;;;Наумов Александр;
1842_Vinogradov;OralHistory;;;Наумов Александр;
1852_Grigoryants;OralHistory;1968;Grigoriantsed;Наумов Александр;
1852_Grigoryants;OralHistory;;;Наумов Александр;
1853_Grigoryants;OralHistory;;;Наумов Александр;
1853_Grigoryants;OralHistory;;;Наумов Александр;
1874_Vinogradov;OralHistory;;;Наумов Александр;
1874_Vinogradov;OralHistory;;;Наумов Александр;
1878_Kleyman;OralHistory;;;Наумов Александр;
1884_Brodskiy;OralHistory;;;Наумов Александр;
1884_Brodskiy;OralHistory;2015;Brodskiy;Наумов Александр;
1897_Kvint;OralHistory;2009;Kvinted;Наумов Александр;
1897_Kvint;OralHistory;;;Наумов Александр;
1899_Zhilinskiy;OralHistory;1928;Zhilinskiyed;Наумов Александр;
1905_Lagarkov;OralHistory;1905;Lagarkovchek;Наумов Александр;
1905_Lagarkov;OralHistory;1905;Lagarkov;Наумов Александр;
1940_Dyhno;OralHistory;1936;Dyhnoed;Наумов Александр;
1940_Dyhno;OralHistory;1936;Dyhno;Наумов Александр;
1970_Grigoryants;OralHistory;;;Наумов Александр;
351-352_Timofeev-Resovskij;OralHistory;1974;Тимофеев-Р.;Наумов Александр;
362-363_Timofeev-Resovskij;OralHistory;1974;Тимофеев-Р.;Наумов Александр;
424-425_Timofeev-Resovskij;OralHistory;1974;Тимофеев-Р.;Наумов Александр;
441_442_Timofeev_Resovskiy;OralHistory;1974;TimofeevResovsky;Наумов Александр;
441_442_Timofeev_Resovskiy;OralHistory;1975;Тимофеев-Р.;Наумов Александр;
445_Men'shov;OralHistory;1975;Меньшов;Наумов Александр;
503_Bazganov;OralHistory;1975;Бажанов;Наумов Александр;
561_Gnedenko;OralHistory;1976;Гнеденко;Наумов Александр;
577_Gnedenko;OralHistory;1976;Гнеденко;Наумов Александр;
